"id","favs","retweets","user"
"872712454094114816","1","0","Vadim Zaytsev"
"872712190897385472","1","0","Vadim Zaytsev"
"872696770953981952","0","0","Alexander Serebrenik"
"872694711450038273","2","0","Alexander Serebrenik"
"872692403324551168","0","2","Felienne"
"872580587781074944","3","3","Alexander Serebrenik"
"872579963916046337","0","2","Alexander Serebrenik"
"872724946740490240","1","0","Vadim Zaytsev"
"872724720000618496","6","1","Alexander Serebrenik"
"872721709530583040","4","0","Alexander Serebrenik"
"872725693133725696","3","2","Yuriy Tymchuk"
"872725520559091712","0","1","Vadim Zaytsev"
"872725345555894272","1","0","Yuriy Tymchuk"
"872786859512012800","1","0","Felienne"
"872786858396323841","0","28","Manuel Leuenberger"
"872786730390302720","1","0","Dorealda Dalipaj"
"872786714955304961","2","0","Vadim Zaytsev"
"872786318106996736","1","0","Vadim Zaytsev"
"872786291884253185","0","1","Ali Parsai"
"872786139119333376","1","1","Nevena Milojkovic"
"872786116423929857","1","0","Alexander Serebrenik"
"872786101995544576","0","0","Vadim Zaytsev"
"872785487227998208","2","0","Nevena Milojkovic"
"872783156449030145","0","0","Alexander Serebrenik"
"872763148717236225","1","0","Alexander Serebrenik"
"872763122033078274","2","1","Mohammad Ghafari"
"872762850703486976","2","1","Vadim Zaytsev"
"872762807493828608","0","2","Ali Parsai"
"872762034659766272","1","0","Nevena Milojkovic"
"872761493779095552","0","0","Alexander Serebrenik"
"872761148428472322","0","28","Nevena Milojkovic"
"872760887010099201","0","2","Alexander Serebrenik"
"872760463586734080","0","4","Nevena Milojkovic"
"872760115979595776","4","2","Tom Mens"
"872758948570550273","0","0","Andrei Chis"
"872757842121568256","0","0","Vadim Zaytsev"
"872757413946040320","0","0","Alexander Serebrenik"
"872757286527258624","1","0","Vadim Zaytsev"
"872756130065338368","2","0","Andrei Chis"
"872754748381855744","0","1","Ali Parsai"
"872754549290881024","2","0","Alexander Serebrenik"
"872754427496730627","1","0","Alexander Serebrenik"
"872754172042649600","6","0","Ali Parsai"
"872753961182404609","2","0","Mohammad Ghafari"
"872753108522291200","0","2","Ali Parsai"
"872752364121411587","2","0","Vadim Zaytsev"
"872750416383160321","1","0","Andrei Chis"
"872747731898568708","0","0","Alexander Serebrenik"
"872745089084338177","0","2","Alexander Serebrenik"
"872744587273666560","0","4","Alexander Serebrenik"
"872744339201568768","0","0","Mohammad Ghafari"
"872743920622546944","0","2","Alexander Serebrenik"
"872742820494356480","0","3","Nevena Milojkovic"
"872742559533203456","0","3","Nevena Milojkovic"
"872742534082174976","5","0","Alexander Serebrenik"
"872742519620198400","0","4","Nevena Milojkovic"
"872742102542757888","1","0","Alexander Serebrenik"
"872742090064756736","0","4","Tushar Sharma"
"872742063418339328","0","0","Vadim Zaytsev"
"872741904269619200","1","1","Alexander Serebrenik"
"872741804407476225","3","3","Vadim Zaytsev"
"872741785256308736","3","4","Yuriy Tymchuk"
"872741766541316096","8","4","Marco di Biase"
"872740887977234433","2","1","Alexander Serebrenik"
"872740702832209920","0","0","Yuriy Tymchuk"
"872740537316585472","1","1","Nevena Milojkovic"
"872740333578326017","2","0","Alexander Serebrenik"
"872740309343641600","3","0","Vadim Zaytsev"
"872737501819154432","1","3","Haidar Osman"
"872736229187571714","0","1","Nevena Milojkovic"
"872731343217676288","1","0","Alexander Serebrenik"
"872730564410961920","3","0","Vadim Zaytsev"
"872729207507386368","0","2","Alexander Serebrenik"
"872727502195761152","1","1","Yuriy Tymchuk"
"872725941503631360","1","0","Yuriy Tymchuk"
"872725851451920384","1","0","Alexander Serebrenik"
